fid             , centroid_lat         , centroid_lon      , phaq, phkc, area    , county                                                                         , county_iso
ken_soil_ph.3059, -3.469887094953811   , 39.3650492569921  ,  6.4,  5.1, 0.00173 , Kilifi                                                                         , KE-14
ken_soil_ph.3061, -3.472968562501646   , 39.57706008116962 ,  6.6,  4.9, 0.001446, Kilifi                                                                         , KE-14
ken_soil_ph.3062, -3.5642960651630253  , 39.43846514256817 ,  7.8,  6.8, 0.020438, Kilifi                                                                         , KE-14
ken_soil_ph.3063, -3.5013393461009787  , 39.82693883072729 ,  5.9,  5.3, 0.001856,                                                                                , 
ken_soil_ph.3065, -3.4901511295466467  , 39.18635346408184 ,  7.1,  6.2, 0.002814, Kilifi                                                                         , KE-14
ken_soil_ph.3066, -3.482792662342173   , 39.13177998892349 ,  5.7,  4.4, 0.001766, Kilifi                                                                         , KE-14
ken_soil_ph.3067, -3.4772411415208095  , 39.08707249712425 ,  6.1,  5.2, 0.001501, Kilifi                                                                         , KE-14
ken_soil_ph.3068, -3.4919392745189026  , 38.77175854091477 ,  5.7,  4.4, 0.008142, Taita Taveta                                                                   , KE-39
ken_soil_ph.3069, -3.5438102448932884  , 38.90086257412586 ,  5.7,  4.4, 0.025363, Taita Taveta                                                                   , KE-39
ken_soil_ph.3070, -3.5096793034865374  , 38.417058142189774,  5.7,  4.4, 0.005569, Taita Taveta                                                                   , KE-39
ken_soil_ph.3072, -3.5487652254964788  , 38.51415900989669 ,  6.4,  5.3, 0.004693, Taita Taveta                                                                   , KE-39
ken_soil_ph.3073, -3.489262085332945   , 39.63674566196791 ,  6.6,  4.9, 0.000603, Kilifi                                                                         , KE-14
ken_soil_ph.3074, -3.508187547937863   , 39.73480003430527 ,  5.9,  5.1, 0.000753, Kilifi                                                                         , KE-14
ken_soil_ph.3075, -3.5124823475376323  , 38.58886683711961 ,  6.3,  4.9, 0.001135, Taita Taveta                                                                   , KE-39
ken_soil_ph.3078, -3.5003669360552467  , 38.21861727301566 ,  6.4,  5.3, 0.001052, Taita Taveta                                                                   , KE-39
ken_soil_ph.3079, -3.6760163161711668  , 39.7140489554013  ,  5.6,  4.9, 0.00861 , Kilifi                                                                         , KE-14
ken_soil_ph.3081, -3.5084392156352053  , 37.64999090316319 ,  7.5,  6.3, 0.000536, Kilimanjaro                                                                    , TZ-09
ken_soil_ph.3082, -3.5341655636480445  , 39.350532183821116,  6.4,  5.1, 0.002841, Kilifi                                                                         , KE-14
ken_soil_ph.3083, -3.639008577165041   , 38.960422241486384,  5.7,  4.4, 0.034877, Taita Taveta                                                                   , KE-39
ken_soil_ph.3084, -3.519449709061611   , 39.09890398422865 ,  6.1,  5.2, 0.00083 , Kilifi                                                                         , KE-14
ken_soil_ph.3086, -3.6476476628946735  , 39.23794758288809 ,  6.7,  5.6, 0.038649, Kilifi                                                                         , KE-14
ken_soil_ph.3087, -3.5658644194439826  , 39.5789645918194  ,  6.6,  4.9, 0.008502, Kilifi                                                                         , KE-14
ken_soil_ph.3089, -3.5557359746737123  , 38.68534328242163 ,  8.0,  6.9, 0.002965, Taita Taveta                                                                   , KE-39
ken_soil_ph.3090, -3.6607491272527395  , 38.41968076746336 ,  7.9,  7.2, 0.003874, Taita Taveta                                                                   , KE-39
ken_soil_ph.3093, -3.699750402112645   , 38.285296018250115,  7.9,  7.2, 0.007787, Taita Taveta                                                                   , KE-39
ken_soil_ph.3095, -3.5591081583387547  , 39.698709928015305,  5.7,  4.8, 0.000464, Kilifi                                                                         , KE-14
ken_soil_ph.3096, -3.572209467782029   , 37.811218050111066,  6.4,  5.3, 0.001322, Taita Taveta                                                                   , KE-39
ken_soil_ph.3098, -3.590568344051167   , 38.700925660766366,  5.7,  4.4, 0.002497, Taita Taveta                                                                   , KE-39
ken_soil_ph.3100, -3.5644399202374806  , 39.4124955445078  ,  5.9,  5.0, 0.000965, Kilifi                                                                         , KE-14
ken_soil_ph.3103, -3.620385107415067   , 38.64824850325122 ,  6.8,  5.6, 0.004577, Taita Taveta                                                                   , KE-39
ken_soil_ph.3104, -3.592055503288305   , 39.299289326419355,  7.1,  6.2, 0.001547, Kilifi                                                                         , KE-14
ken_soil_ph.3105, -3.59233426653138    , 39.64611590770008 ,  6.6,  4.9, 0.000892, Kilifi                                                                         , KE-14
ken_soil_ph.3106, -3.8400502267945726  , 39.072328326858745,  6.6,  5.9, 0.099824, Kwale                                                                          , KE-19
ken_soil_ph.3108, -3.6039525299402095  , 37.93233615773004 ,  6.4,  5.3, 0.000668, Taita Taveta                                                                   , KE-39
ken_soil_ph.3109, -3.616907867862345   , 39.459875889000706,  7.1,  5.8, 0.002495, Kilifi                                                                         , KE-14
ken_soil_ph.3111, -3.6686966130535907  , 38.46074826662275 ,  5.7,  4.4, 0.009437, Taita Taveta                                                                   , KE-39
ken_soil_ph.3112, -3.6854474646178934  , 38.60871047692031 ,  5.7,  4.4, 0.008404, Taita Taveta                                                                   , KE-39
ken_soil_ph.3113, -3.7124397069965664  , 38.35255665067196 ,  5.7,  4.4, 0.0206  , Taita Taveta                                                                   , KE-39
ken_soil_ph.3114, -3.632737884332107   , 38.66189976325274 ,  5.7,  4.4, 0.00137 , Taita Taveta                                                                   , KE-39
ken_soil_ph.3115, -3.6737200005517994  , 39.394776506894225,  6.4,  5.1, 0.004747, Kilifi                                                                         , KE-14
ken_soil_ph.3117, -3.7868986856997826  , 39.64720506511814 ,  5.7,  4.8, 0.012756, Kilifi                                                                         , KE-14
ken_soil_ph.3118, -3.6915366553125333  , 39.350590511279734,  7.1,  5.8, 0.002844, Kilifi                                                                         , KE-14
ken_soil_ph.3119, -3.712441805117777   , 38.545505206521945,  6.8,  5.6, 0.00646 , Taita Taveta                                                                   , KE-39
ken_soil_ph.3120, -3.6453994831084064  , 39.64750146905494 ,  6.6,  4.9, 0.00121 , Kilifi                                                                         , KE-14
ken_soil_ph.3121, -3.6633752721539823  , 38.77894266219406 ,  5.7,  4.4, 0.001384, Taita Taveta                                                                   , KE-39
ken_soil_ph.3122, -3.654813102723554   , 39.81008491505372 ,  5.8,  5.3, 0.001297,                                                                                , 
ken_soil_ph.3123, -3.6607427598440436  , 38.541504696580795,  6.4,  5.3, 0.001447, Taita Taveta                                                                   , KE-39
ken_soil_ph.3124, -3.688016550761284   , 39.33763319510689 ,  6.4,  5.1, 0.001197, Kilifi                                                                         , KE-14
ken_soil_ph.3125, -3.6798042056359317  , 38.40582360091325 ,  6.4,  5.3, 0.000564, Taita Taveta                                                                   , KE-39
ken_soil_ph.3127, -3.6768575519203495  , 39.54109225191294 ,  6.6,  4.9, 0.00065 , Kilifi                                                                         , KE-14
ken_soil_ph.3128, -3.6926726811777155  , 39.80468887020505 ,  5.4,  4.4, 0.002041,                                                                                , 
ken_soil_ph.3129, -3.84450998176673    , 39.78630489199764 ,  6.5,  5.6, 0.007624, Mombasa                                                                        , KE-28
ken_soil_ph.3130, -3.7052867413063737  , 39.240140357032175,  5.9,  5.0, 0.002115, Kilifi                                                                         , KE-14
ken_soil_ph.3133, -3.715262360082042   , 39.29360759405227 ,  7.1,  6.2, 0.001796, Kilifi                                                                         , KE-14
