name                                , lat         , lon         , products     , prices
Yalama Agrovet                      ,0.7404567,34.4189547," NPK, CAN, DAP"," 60,55,70"
Busia Agrovet                       ,0.4580448,34.1195913," NPK, CAN, DAP"," 60,55,70"
Green Agro distributors             ,0.4553727,34.1265352," NPK, CAN, DAP"," 60,55,70"
Musigire Hardware                   ,0.404231,34.1272885," NPK, CAN, DAP"," 60,55,70"
Favor agrovet                       ,0.6280817,34.3309817," NPK, CAN, DAP"," 60,55,70"
Boaz kilimo agro                    ,0.3928743,34.3048359," NPK, CAN, DAP"," 60,55,70"
Western Deluxe Premium feeders      ,0.4524924,34.1323753," NPK, CAN, DAP"," 60,55,70"
One Acre Fund Tupande Duka          ,0.4127972,34.2855021," NPK, CAN, DAP"," 60,55,70"
Nambale shop                        ,0.4570527,34.237595," NPK, CAN, DAP"," 60,55,70"
Cereals                             ,0.4149355,34.1476609," NPK, CAN, DAP"," 60,55,70"
Temakho Agrovet                     ,0.1838732,34.0777704," NPK, CAN, DAP"," 60,55,70"
Tumaini Agrovet                     ,0.1834031,34.0773675," NPK, CAN, DAP"," 60,55,70"
JaimieyAgrojena                     ,0.5447667,34.1976033," NPK, CAN, DAP"," 60,55,70"
Mundika hardware                    ,0.414848614,34.14617367," NPK, CAN, DAP"," 60,55,70"
Kisoko                              ,-15.71611427,-54.26117286," NPK, CAN, DAP"," 60,55,70"
Napasama Agrovet                    ,-19.74592642,-127.1701142," NPK, CAN, DAP"," 60,55,70"
K                                   ,0.2237034,34.0684595," NPK, CAN, DAP"," 60,55,70"
Agrianian agrovet                   ,0.4572298,34.2376147," NPK, CAN, DAP"," 60,55,70"
Lukolis agrovet                     ,0.522589665,34.20399372," NPK, CAN, DAP"," 60,55,70"
Songi                               ,-9.968866459,-13.65235135," NPK, CAN, DAP"," 60,55,70"
Uwezo                               ,0.546467662,34.19364542," NPK, CAN, DAP"," 60,55,70"
Dancan                              ,0.449168514,34.1360376," NPK, CAN, DAP"," 60,55,70"
Test                                ,0.455698819,34.11273189," NPK, CAN, DAP"," 60,55,70"
Fropa                               ,0.5220722,34.201337," NPK, CAN, DAP"," 60,55,70"
Nakhayo agrovet                     ,0.4573349,34.238129," NPK, CAN, DAP"," 60,55,70"
Allan's farm                        ,0.458595,34.1152133," NPK, CAN, DAP"," 60,55,70"
Maize                               ,0.4585717,34.11496," NPK, CAN, DAP"," 60,55,70"
Mali Mali farm chemicals            ,0.4487932,34.2745624," NPK, CAN, DAP"," 60,55,70"
Temakho Agrovet                     ,0.184231903,34.07801371," NPK, CAN, DAP"," 60,55,70"
Temakho Agrovet                     ,0.18432645,34.07823902," NPK, CAN, DAP"," 60,55,70"
Amani agrovet                       ,0.5657567,34.1722683," NPK, CAN, DAP"," 60,55,70"
Nakajoro agrovet                    ,0.4815463,34.2246169," NPK, CAN, DAP"," 60,55,70"
Namuchelewa Agrovet                 ,0.4542412,34.2499291," NPK, CAN, DAP"," 60,55,70"
Nakhayo                             ,52.66151852,-150.1036708," NPK, CAN, DAP"," 60,55,70"
Musa agrovet                        ,0.53251744,34.19988289," NPK, CAN, DAP"," 60,55,70"
Akites aagro                        ,0.5446322,34.1975969," NPK, CAN, DAP"," 60,55,70"
Exadus                              ,0.5655185,34.1923014," NPK, CAN, DAP"," 60,55,70"
Fred agrovet                        ,0.5446417,34.1977167," NPK, CAN, DAP"," 60,55,70"
Lydia agrovet                       ,0.5567002,34.1905637," NPK, CAN, DAP"," 60,55,70"
Kodak agro dealers                  ,0.5446856,34.1975985," NPK, CAN, DAP"," 60,55,70"
Exodus Farm Inputs                  ,0.5445868,34.1976653," NPK, CAN, DAP"," 60,55,70"
Kodax                               ,0.5446284,34.1975586," NPK, CAN, DAP"," 60,55,70"
BEN YUCAN                           ,0.337166144,34.25773714," MOP, DAP     "," 52,58"
Wandera and Sons Agrovet            ,0.4113901,34.1998734," MOP, DAP     "," 52,58"
NAFAKA AGROVET                      ,0.6276874,34.3325719," MOP, DAP     "," 52,58"
FARIDA Agrovet                      ,0.4525986,34.243028," MOP, DAP     "," 52,58"
Kodak                               ,0.523153576,34.20155995," MOP, DAP     "," 52,58"
Mekii                               ,0.5446219,34.1976142," MOP, DAP     "," 52,58"
Muklima                             ,0.452469541,34.24347818," NPK, CAN, DAP"," 60,55,70"
Mkulima Agro                        ,0.460501496,34.23810069," NPK, CAN, DAP"," 60,55,70"
Nakhayo agrovet                     ,0.45565624,34.2384601," NPK, CAN, DAP"," 60,55,70"
AGAPE AGROVET                       ,0.4572186,34.2376973," NPK, CAN, DAP"," 60,55,70"
NASIRA                              ,0.46142314,34.24013615," NPK, CAN, DAP"," 60,55,70"
Agape                               ,0.4525986,34.243028," NPK, CAN, DAP"," 60,55,70"
Agrohero farm inputs                ,0.476795036,34.24128179," NPK, CAN, DAP"," 60,55,70"
Nambale                             ,0.456736801,34.23843931," NPK, CAN, DAP"," 60,55,70"
Mkulima agrovet                     ,0.455026947,34.25240558," NPK, CAN, DAP"," 60,55,70"
Christ                              ,0.4570704,34.2378332," NPK, CAN, DAP"," 60,55,70"
Nakhumicha agrovet                  ,0.460708355,34.23885975," NPK, CAN, DAP"," 60,55,70"
Jekks                               ,0.4597074,34.2388598," NPK, CAN, DAP"," 60,55,70"
Hr                                  ,0.4564795,34.1126795," NPK, CAN, DAP"," 60,55,70"
Ffff                                ,0.4586681,34.114927," NPK, CAN, DAP"," 60,55,70"
Shraj Agro dealer                   ,78.296322,-157.1886626," NPK, CAN, DAP"," 60,55,70"
Mary agrovet                        ,0.141456542,35.5658887," NPK, CAN, DAP"," 60,55,70"
Park enterprises                    ,65.84408008,-61.5622903," NPK, CAN, DAP"," 60,55,70"
